Badi|Gregorian|Week|Day|Month|Leap|Days|Day|JRG
Date|Date|Day|Name|Name|Year|Year|Year|Leap
(1, 1, 1)|(1844, 3, 19.762113)|3|Fiḍāl|Bahá|True|366|001|4
(2, 1, 1)|(1845, 3, 20.761972)|5|Istijlāl|Bahá|False|365|001|4
(3, 1, 1)|(1846, 3, 20.761831)|6|Istiqlāl|Bahá|False|365|001|4
(4, 1, 1)|(1847, 3, 20.761689)|0|Jalál|Bahá|False|365|001|5
(5, 1, 1)|(1848, 3, 19.762125)|1|Jamál|Bahá|True|366|001|4
(6, 1, 1)|(1849, 3, 20.761983)|3|Fiḍāl|Bahá|False|365|001|4
(7, 1, 1)|(1850, 3, 20.761842)|4|`Idāl|Bahá|False|365|001|4
(8, 1, 1)|(1851, 3, 20.761701)|5|Istijlāl|Bahá|False|365|001|5
(9, 1, 1)|(1852, 3, 19.762137)|6|Istiqlāl|Bahá|True|366|001|4
(10, 1, 1)|(1853, 3, 20.761997)|1|Jamál|Bahá|False|365|001|4
(11, 1, 1)|(1854, 3, 20.761857)|2|Kamál|Bahá|False|365|001|4
(12, 1, 1)|(1855, 3, 20.761717)|3|Fiḍāl|Bahá|False|365|001|5
(13, 1, 1)|(1856, 3, 19.762155)|4|`Idāl|Bahá|True|366|001|4
(14, 1, 1)|(1857, 3, 20.762016)|6|Istiqlāl|Bahá|False|365|001|4
(15, 1, 1)|(1858, 3, 20.761877)|0|Jalál|Bahá|False|365|001|4
(16, 1, 1)|(1859, 3, 20.761738)|1|Jamál|Bahá|False|365|001|5
(17, 1, 1)|(1860, 3, 19.762176)|2|Kamál|Bahá|True|366|001|4
(18, 1, 1)|(1861, 3, 20.762036)|4|`Idāl|Bahá|False|365|001|4
(19, 1, 1)|(1862, 3, 20.761896)|5|Istijlāl|Bahá|False|365|001|4
(20, 1, 1)|(1863, 3, 20.761756)|6|Istiqlāl|Bahá|False|365|001|5
(21, 1, 1)|(1864, 3, 19.762192)|0|Jalál|Bahá|False|365|001|4
(22, 1, 1)|(1865, 3, 19.76205)|1|Jamál|Bahá|True|366|001|4
(23, 1, 1)|(1866, 3, 20.761909)|3|Fiḍāl|Bahá|False|365|001|4
(24, 1, 1)|(1867, 3, 20.761768)|4|`Idāl|Bahá|False|365|001|5
(25, 1, 1)|(1868, 3, 19.762203)|5|Istijlāl|Bahá|False|365|001|4
(26, 1, 1)|(1869, 3, 19.762062)|6|Istiqlāl|Bahá|True|366|001|4
(27, 1, 1)|(1870, 3, 20.761921)|1|Jamál|Bahá|False|365|001|4
(28, 1, 1)|(1871, 3, 20.76178)|2|Kamál|Bahá|False|365|001|5
(29, 1, 1)|(1872, 3, 19.762217)|3|Fiḍāl|Bahá|False|365|001|4
(30, 1, 1)|(1873, 3, 19.762077)|4|`Idāl|Bahá|True|366|001|4
(31, 1, 1)|(1874, 3, 20.761938)|6|Istiqlāl|Bahá|False|365|001|4
(32, 1, 1)|(1875, 3, 20.761799)|0|Jalál|Bahá|False|365|001|5
(33, 1, 1)|(1876, 3, 19.762237)|1|Jamál|Bahá|False|365|001|4
(34, 1, 1)|(1877, 3, 19.762098)|2|Kamál|Bahá|True|366|001|4
(35, 1, 1)|(1878, 3, 20.761959)|4|`Idāl|Bahá|False|365|001|4
(36, 1, 1)|(1879, 3, 20.761819)|5|Istijlāl|Bahá|False|365|001|5
(37, 1, 1)|(1880, 3, 19.762257)|6|Istiqlāl|Bahá|False|365|001|4
(38, 1, 1)|(1881, 3, 19.762116)|0|Jalál|Bahá|True|366|001|4
(39, 1, 1)|(1882, 3, 20.761976)|2|Kamál|Bahá|False|365|001|4
(40, 1, 1)|(1883, 3, 20.761834)|3|Fiḍāl|Bahá|False|365|001|5
(41, 1, 1)|(1884, 3, 19.76227)|4|`Idāl|Bahá|False|365|001|4
(42, 1, 1)|(1885, 3, 19.762129)|5|Istijlāl|Bahá|True|366|001|4
(43, 1, 1)|(1886, 3, 20.761987)|0|Jalál|Bahá|False|365|001|4
(44, 1, 1)|(1887, 3, 20.761845)|1|Jamál|Bahá|False|365|001|5
(45, 1, 1)|(1888, 3, 19.762282)|2|Kamál|Bahá|False|365|001|4
(46, 1, 1)|(1889, 3, 19.762141)|3|Fiḍāl|Bahá|True|366|001|4
(47, 1, 1)|(1890, 3, 20.762)|5|Istijlāl|Bahá|False|365|001|4
(48, 1, 1)|(1891, 3, 20.76186)|6|Istiqlāl|Bahá|False|365|001|5
(49, 1, 1)|(1892, 3, 19.762298)|0|Jalál|Bahá|False|365|001|4
(50, 1, 1)|(1893, 3, 19.762159)|1|Jamál|Bahá|True|366|001|4
(51, 1, 1)|(1894, 3, 20.762019)|3|Fiḍāl|Bahá|False|365|001|4
(52, 1, 1)|(1895, 3, 20.76188)|4|`Idāl|Bahá|False|365|001|5
(53, 1, 1)|(1896, 3, 19.762319)|5|Istijlāl|Bahá|False|365|001|4
(54, 1, 1)|(1897, 3, 19.76218)|6|Istiqlāl|Bahá|False|365|001|4
(55, 1, 1)|(1898, 3, 19.76204)|0|Jalál|Bahá|True|366|001|4
(56, 1, 1)|(1899, 3, 20.761899)|2|Kamál|Bahá|False|365|001|4
(57, 1, 1)|(1900, 3, 20.762336)|3|Fiḍāl|Bahá|False|365|001|4
(58, 1, 1)|(1901, 3, 20.762195)|4|`Idāl|Bahá|False|365|001|4
(59, 1, 1)|(1902, 3, 20.762054)|5|Istijlāl|Bahá|True|366|001|4
(60, 1, 1)|(1903, 3, 21.761912)|0|Jalál|Bahá|False|365|001|5
(61, 1, 1)|(1904, 3, 20.762349)|1|Jamál|Bahá|False|365|001|4
(62, 1, 1)|(1905, 3, 20.762207)|2|Kamál|Bahá|False|365|001|4
(63, 1, 1)|(1906, 3, 20.762065)|3|Fiḍāl|Bahá|True|366|001|4
(64, 1, 1)|(1907, 3, 21.761924)|5|Istijlāl|Bahá|False|365|001|5
(65, 1, 1)|(1908, 3, 20.762361)|6|Istiqlāl|Bahá|False|365|001|4
(66, 1, 1)|(1909, 3, 20.762221)|0|Jalál|Bahá|False|365|001|4
(67, 1, 1)|(1910, 3, 20.76208)|1|Jamál|Bahá|True|366|001|4
(68, 1, 1)|(1911, 3, 21.761941)|3|Fiḍāl|Bahá|False|365|001|5
(69, 1, 1)|(1912, 3, 20.762379)|4|`Idāl|Bahá|False|365|001|4
(70, 1, 1)|(1913, 3, 20.76224)|5|Istijlāl|Bahá|False|365|001|4
(71, 1, 1)|(1914, 3, 20.762101)|6|Istiqlāl|Bahá|True|366|001|4
(72, 1, 1)|(1915, 3, 21.761962)|1|Jamál|Bahá|False|365|001|5
(73, 1, 1)|(1916, 3, 20.7624)|2|Kamál|Bahá|False|365|001|4
(74, 1, 1)|(1917, 3, 20.76226)|3|Fiḍāl|Bahá|False|365|001|4
(75, 1, 1)|(1918, 3, 20.762119)|4|`Idāl|Bahá|True|366|001|4
(76, 1, 1)|(1919, 3, 21.761978)|6|Istiqlāl|Bahá|False|365|001|5
(77, 1, 1)|(1920, 3, 20.762415)|0|Jalál|Bahá|False|365|001|4
(78, 1, 1)|(1921, 3, 20.762274)|1|Jamál|Bahá|False|365|001|4
(79, 1, 1)|(1922, 3, 20.762132)|2|Kamál|Bahá|True|366|001|4
(80, 1, 1)|(1923, 3, 21.76199)|4|`Idāl|Bahá|False|365|001|5
(81, 1, 1)|(1924, 3, 20.762427)|5|Istijlāl|Bahá|False|365|001|4
(82, 1, 1)|(1925, 3, 20.762285)|6|Istiqlāl|Bahá|False|365|001|4
(83, 1, 1)|(1926, 3, 20.762144)|0|Jalál|Bahá|True|366|001|4
(84, 1, 1)|(1927, 3, 21.762003)|2|Kamál|Bahá|False|365|001|5
(85, 1, 1)|(1928, 3, 20.762441)|3|Fiḍāl|Bahá|False|365|001|4
(86, 1, 1)|(1929, 3, 20.762301)|4|`Idāl|Bahá|False|365|001|4
(87, 1, 1)|(1930, 3, 20.762161)|5|Istijlāl|Bahá|False|365|001|4
(88, 1, 1)|(1931, 3, 20.762022)|6|Istiqlāl|Bahá|True|366|001|5
(89, 1, 1)|(1932, 3, 20.762461)|1|Jamál|Bahá|False|365|001|4
(90, 1, 1)|(1933, 3, 20.762321)|2|Kamál|Bahá|False|365|001|4
(91, 1, 1)|(1934, 3, 20.762182)|3|Fiḍāl|Bahá|False|365|001|4
(92, 1, 1)|(1935, 3, 20.762042)|4|`Idāl|Bahá|True|366|001|5
(93, 1, 1)|(1936, 3, 20.76248)|6|Istiqlāl|Bahá|False|365|001|4
(94, 1, 1)|(1937, 3, 20.762339)|0|Jalál|Bahá|False|365|001|4
(95, 1, 1)|(1938, 3, 20.762198)|1|Jamál|Bahá|False|365|001|4
(96, 1, 1)|(1939, 3, 20.762057)|2|Kamál|Bahá|True|366|001|5
(97, 1, 1)|(1940, 3, 20.762493)|4|`Idāl|Bahá|False|365|001|4
(98, 1, 1)|(1941, 3, 20.762352)|5|Istijlāl|Bahá|False|365|001|4
(99, 1, 1)|(1942, 3, 20.76221)|6|Istiqlāl|Bahá|False|365|001|4
(100, 1, 1)|(1943, 3, 20.762068)|0|Jalál|Bahá|True|366|001|5
(101, 1, 1)|(1944, 3, 20.761926)|2|Kamál|Bahá|False|365|001|4
(102, 1, 1)|(1945, 3, 20.761785)|3|Fiḍāl|Bahá|False|365|001|4
(103, 1, 1)|(1946, 3, 20.761644)|4|`Idāl|Bahá|False|365|001|4
(104, 1, 1)|(1947, 3, 20.761503)|5|Istijlāl|Bahá|True|366|001|5
(105, 1, 1)|(1948, 3, 20.761942)|0|Jalál|Bahá|False|365|001|4
(106, 1, 1)|(1949, 3, 20.761802)|1|Jamál|Bahá|False|365|001|4
(107, 1, 1)|(1950, 3, 20.761663)|2|Kamál|Bahá|False|365|001|4
(108, 1, 1)|(1951, 3, 20.761523)|3|Fiḍāl|Bahá|True|366|001|5
(109, 1, 1)|(1952, 3, 20.761963)|5|Istijlāl|Bahá|False|365|001|4
(110, 1, 1)|(1953, 3, 20.761823)|6|Istiqlāl|Bahá|False|365|001|4
(111, 1, 1)|(1954, 3, 20.761683)|0|Jalál|Bahá|False|365|001|4
(112, 1, 1)|(1955, 3, 20.761542)|1|Jamál|Bahá|True|366|001|5
(113, 1, 1)|(1956, 3, 20.76198)|3|Fiḍāl|Bahá|False|365|001|4
(114, 1, 1)|(1957, 3, 20.761839)|4|`Idāl|Bahá|False|365|001|4
(115, 1, 1)|(1958, 3, 20.761697)|5|Istijlāl|Bahá|False|365|001|4
(116, 1, 1)|(1959, 3, 20.761554)|6|Istiqlāl|Bahá|False|365|001|5
(117, 1, 1)|(1960, 3, 19.761992)|0|Jalál|Bahá|True|366|001|4
(118, 1, 1)|(1961, 3, 20.76185)|2|Kamál|Bahá|False|365|001|4
(119, 1, 1)|(1962, 3, 20.761708)|3|Fiḍāl|Bahá|False|365|001|4
(120, 1, 1)|(1963, 3, 20.761566)|4|`Idāl|Bahá|False|365|001|5
(121, 1, 1)|(1964, 3, 19.762005)|5|Istijlāl|Bahá|True|366|001|4
(122, 1, 1)|(1965, 3, 20.761864)|0|Jalál|Bahá|False|365|001|4
